symbole	type	lot	domaine	couche	cible	routes	lignes	refs	tickets_90j	ligne_source
html:<button ltoggle>	html	L5	layout	view	views/layout/ltoggle.view.js		1	0	0	868
html:<button mini>	html	L5	layout	view	views/layout/mini.view.js		1	0	0	792
html:<button mini>	html	L5	layout	view	views/layout/mini.view.js		1	0	0	980
html:<button nextatt>	html	L5	layout	view	views/layout/nextatt.view.js		1	0	0	817
html:<button pmbtn>	html	L5	layout	view	views/layout/pmbtn.view.js		1	0	0	838
html:<button setbtn>	html	L5	layout	view	views/layout/setbtn.view.js		1	0	0	840
html:<button updbtn>	html	L5	layout	view	views/layout/updbtn.view.js		1	0	0	859
html:<button voicebtn>	html	L5	layout	view	views/layout/voicebtn.view.js		1	0	0	826
html:<button yesall>	html	L5	layout	view	views/layout/yesall.view.js		1	0	0	823
html:<button yesatt>	html	L5	layout	view	views/layout/yesatt.view.js		1	0	0	820
html:<div card>	html	L5	layout	view	views/layout/card.view.js		1	0	0	944
html:<div card>	html	L5	layout	view	views/layout/card.view.js		1	0	0	1008
html:<div card>	html	L5	layout	view	views/layout/card.view.js		1	0	0	1150
html:<div docbox>	html	L5	layout	view	views/layout/docbox.view.js		1	0	0	1510
html:<div gate-err>	html	L5	layout	view	views/layout/gate-err.view.js		1	0	0	793
html:<div gatecard>	html	L5	layout	view	views/layout/gatecard.view.js		1	0	0	785
html:<div gsub>	html	L5	layout	view	views/layout/gsub.view.js		1	0	0	787
html:<div histbox>	html	L5	layout	view	views/layout/histbox.view.js		1	0	0	1521
html:<div lbody>	html	L5	layout	view	views/layout/lbody.view.js		1	0	0	882
html:<div toast>	html	L5	layout	view	views/layout/toast.view.js		1	0	0	1522
html:<header header>	html	L5	layout	view	views/layout/header.view.js		1	0	0	806
html:<input auth-pass>	html	L5	layout	view	views/layout/auth-pass.view.js		1	0	0	791
html:<input auth-user>	html	L5	layout	view	views/layout/auth-user.view.js		1	0	0	789
html:<main main>	html	L5	layout	view	views/layout/main.view.js		1	0	0	865
html:<nav lnav>	html	L5	layout	view	views/layout/lnav.view.js		1	0	0	871
html:<section left>	html	L5	layout	view	views/layout/left.view.js		1	0	0	866
html:<section right>	html	L5	layout	view	views/layout/right.view.js		1	0	0	1173
html:<select clientctx>	html	L5	layout	view	views/layout/clientctx.view.js		1	0	0	810
html:<span envwarn>	html	L5	layout	view	views/layout/envwarn.view.js		1	0	0	850
html:<span hcnt>	html	L5	layout	view	views/layout/hcnt.view.js		1	0	0	815
html:<span health>	html	L5	layout	view	views/layout/health.view.js		1	0	0	807
html:<span healthtxt>	html	L5	layout	view	views/layout/healthtxt.view.js		1	0	0	814
html:<span lock>	html	L5	layout	view	views/layout/lock.view.js		1	0	0	862
renderOutline	js	L5	layout	view	views/layout/renderOutline.view.js		43	7	4	7195
glossNorm	js	L5	mail	component	components/glossNorm.js		11	6	0	4576
GLOSSARY	js	L5	mail	model	models/mail/GLOSSARY.js		88	0	1	4488
buildGloss	js	L5	mail	model	models/mail/buildGloss.js		17	1	0	4587
glossMatch	js	L5	mail	model	models/mail/glossMatch.js		15	1	1	4604
mailCreate	js	L5	mail	model	models/mail/mailCreate.js		7	1	0	4458
mailDismiss	js	L5	mail	model	models/mail/mailDismiss.js		13	1	0	4475
mailDraft	js	L5	mail	model	models/mail/mailDraft.js		4	1	0	4454
mailFetch	js	L5	mail	model	models/mail/mailFetch.js		1	0	0	4452
mailNoteOn	js	L5	mail	model	models/mail/mailNoteOn.js		5	1	0	4465
mailReroute	js	L5	mail	model	models/mail/mailReroute.js		5	1	0	4470
mailRoute	js	L5	mail	model	models/mail/mailRoute.js		1	0	0	4453
mailToggle	js	L5	mail	model	models/mail/mailToggle.js		2	1	0	4438
loadMail	js	L5	mail	service	services/mail.service.js	/mail/queue	16	3	0	4422
mailAction	js	L5	mail	service	services/mail.service.js		12	7	0	4440
html:<div lp-mail>	html	L5	mail	view	views/mail/lp-mail.view.js		1	0	0	1146
mrStageHtml	js	L5	nav	component	components/mrStageHtml.js		35	1	0	3802
pinMark	js	L5	nav	component	components/pinMark.js		9	1	0	3857
pinOf	js	L5	nav	component	components/pinOf.js		2	6	0	3866
saveTabs	js	L5	nav	component	components/saveTabs.js		10	3	0	3870
statusPill	js	L5	nav	component	components/statusPill.js		20	2	0	3837
groupWorklogItems	js	L5	nav	model	models/nav/groupWorklogItems.js		19	1	0	3764
upsertTab	js	L5	nav	model	models/nav/upsertTab.js		23	1	0	3880
worklogGroupedHtml	js	L5	nav	view	views/nav/worklogGroupedHtml.view.js		19	1	1	3783
closeOutlineRead	js	L5	outline	controller	controllers/outline.controller.js		3	3	0	7247
copyOutline	js	L5	outline	controller	controllers/outline.controller.js		4	1	0	7243
gotoNextAttention	js	L5	outline	controller	controllers/outline.controller.js		7	0	0	7325
jumpUnresolved	js	L5	outline	controller	controllers/outline.controller.js		8	0	0	7290
jumpUser	js	L5	outline	controller	controllers/outline.controller.js		10	2	1	7280
openFileRef	js	L5	outline	controller	controllers/outline.controller.js		10	1	0	7250
toggleDynSort	js	L5	outline	controller	controllers/outline.controller.js		8	0	0	7317
dynSort	js	L5	outline	model	models/outline/dynSort.js		1	0	1	7315
listHot	js	L5	outline	model	models/outline/listHot.js		1	0	0	7316
outlineFull	js	L5	outline	model	models/outline/outlineFull.js		5	2	0	7238
populateModels	js	L5	outline	model	models/outline/populateModels.js		21	2	0	7380
populateResumeEngines	js	L5	outline	model	models/outline/populateResumeEngines.js		10	1	0	7370
approve	js	L5	outline	service	services/outline.service.js	/approve	14	3	0	7332
jumpTo	js	L5	outline	service	services/outline.service.js	/scroll	20	3	3	7260
resolveRm	js	L5	outline	service	services/outline.service.js	/resolve	24	6	3	7346
scrollLive	js	L5	outline	service	services/outline.service.js	/scroll	17	2	2	7298
css:.outbody	css	L5	outline	style	views/outline/outline.css		1	0	0	522
css:.outnav	css	L5	outline	style	views/outline/outline.css		1	0	1	502
css:.outnav .cnt	css	L5	outline	style	views/outline/outline.css		1	0	1	503
css:.outnav .mini.active	css	L5	outline	style	views/outline/outline.css		1	0	0	509
css:.outnav .outq	css	L5	outline	style	views/outline/outline.css		1	0	0	505
css:.outnav .outq:focus	css	L5	outline	style	views/outline/outline.css		1	0	1	507
sessionPills	js	L5	settings	component	components/sessionPills.js		8	3	0	9777
closeProjectView	js	L5	settings	controller	controllers/settings.controller.js		8	7	4	9741
currentProjectView	js	L5	settings	model	models/settings/currentProjectView.js		1	0	1	9739
currentReview	js	L5	settings	model	models/settings/currentReview.js		1	0	0	9736
pmCommands	js	L5	settings	model	models/settings/pmCommands.js		1	0	0	9653
projectData	js	L5	settings	model	models/settings/projectData.js		1	0	0	9740
tkRow	js	L5	settings	model	models/settings/tkRow.js		7	2	1	9785
tqCache	js	L5	settings	model	models/settings/tqCache.js		2	0	1	9737
loadPmCommands	js	L5	settings	service	services/settings.service.js	/pm/commands	23	1	2	9654
openProjectView	js	L5	settings	service	services/settings.service.js	/project	28	7	4	9749
saveSetting	js	L5	settings	service	services/settings.service.js	/pm/settings	17	3	1	9636
submitPmForm	js	L5	settings	service	services/settings.service.js		28	1	2	9707
renderPmForm	js	L5	settings	view	views/settings/renderPmForm.view.js		30	1	3	9677
reviewTabs	js	L5	settings	view	views/settings/reviewTabs.view.js		1	0	0	9735
browserDictate	js	L5	voice	component	components/browserDictate.js		16	6	0	3482
markPillHtml	js	L5	voice	component	components/markPillHtml.js		12	1	0	3543
micBtn	js	L5	voice	component	components/micBtn.js		1	3	0	3406
micIdle	js	L5	voice	component	components/micIdle.js		1	6	0	3407
speak	js	L5	voice	component	components/speak.js		4	6	2	3303
pickVoice	js	L5	voice	controller	controllers/voice.controller.js		10	2	0	3251
setOutFilter	js	L5	voice	controller	controllers/voice.controller.js		7	0	1	3536
setOutQuery	js	L5	voice	controller	controllers/voice.controller.js		3	0	0	3516
setSttServer	js	L5	voice	controller	controllers/voice.controller.js		5	0	0	3329
setVoiceLang	js	L5	voice	controller	controllers/voice.controller.js		8	0	0	3311
setVoiceName	js	L5	voice	controller	controllers/voice.controller.js		4	0	1	3319
setVoiceServer	js	L5	voice	controller	controllers/voice.controller.js		6	0	1	3323
toggleVoice	js	L5	voice	controller	controllers/voice.controller.js		9	0	0	3377
abToB64	js	L5	voice	model	models/voice/abToB64.js		8	1	0	3426
browserSpeak	js	L5	voice	model	models/voice/browserSpeak.js		9	2	0	3281
dictate	js	L5	voice	model	models/voice/dictate.js		12	0	2	3434
mediaRec	js	L5	voice	model	models/voice/mediaRec.js		1	0	0	3403
micRec	js	L5	voice	model	models/voice/micRec.js		1	2	0	3408
micWork	js	L5	voice	model	models/voice/micWork.js		3	1	0	3409
outByKind	js	L5	voice	model	models/voice/outByKind.js		7	1	0	3528
outFilter	js	L5	voice	model	models/voice/outFilter.js		1	0	0	3535
outMatch	js	L5	voice	model	models/voice/outMatch.js		9	1	1	3519
outOpen	js	L5	voice	model	models/voice/outOpen.js		1	0	0	3515
outPos	js	L5	voice	model	models/voice/outPos.js		1	0	1	3513
outQuery	js	L5	voice	model	models/voice/outQuery.js		1	0	0	3514
outline	js	L5	voice	model	models/voice/outline.js		1	2	0	3512
rec	js	L5	voice	model	models/voice/rec.js		1	2	0	3402
serverSpeak	js	L5	voice	model	models/voice/serverSpeak.js	/tts	13	1	0	3290
spokenCache	js	L5	voice	model	models/voice/spokenCache.js		6	0	0	3223
sttBusy	js	L5	voice	model	models/voice/sttBusy.js		2	0	0	3404
sttMode	js	L5	voice	model	models/voice/sttMode.js		5	1	0	3276
sttServer	js	L5	voice	model	models/voice/sttServer.js		5	0	0	3263
ttsMode	js	L5	voice	model	models/voice/ttsMode.js		8	1	1	3268
voiceCaps	js	L5	voice	model	models/voice/voiceCaps.js		1	0	0	3261
voiceLang	js	L5	voice	model	models/voice/voiceLang.js		1	0	0	3242
voiceMode	js	L5	voice	model	models/voice/voiceMode.js		1	0	0	3222
voiceName	js	L5	voice	model	models/voice/voiceName.js		8	0	0	3243
voiceQueue	js	L5	voice	model	models/voice/voiceQueue.js		13	1	0	3229
voiceServer	js	L5	voice	model	models/voice/voiceServer.js		1	0	1	3262
announceWaiting	js	L5	voice	service	services/voice.service.js	/question	16	1	1	3386
approveShortcutVisible	js	L5	voice	service	services/voice.service.js		6	1	0	3216
loadVoiceCaps	js	L5	voice	service	services/voice.service.js	/voice/caps	4	1	0	3307
readQuestion	js	L5	voice	service	services/voice.service.js	/question;/capture	14	0	0	3498
sendDictated	js	L5	voice	service	services/voice.service.js	/send	14	2	0	3412
serverDictate	js	L5	voice	service	services/voice.service.js	/stt	36	1	0	3446
renderVoiceBtn	js	L5	voice	view	views/voice/renderVoiceBtn.view.js		5	2	0	3372
renderVoicePrefs	js	L5	voice	view	views/voice/renderVoicePrefs.view.js		38	3	2	3334
